"CO_CID","DS_CID"
"T406","Intoxicação por outros narcóticos e os não especificados"
"T407","Intoxicação por cannabis (derivados)"
"T408","Intoxicação por lisergida [lsd]"
"T409","Intoxicação por outros psicodislépticos e os não especificados [alucinógenos]"
"T410","Intoxicação por anestésicos inalatórios"
"T411","Intoxicação por anestésicos intravenosos"
"T412","Intoxicação por outros anestésicos gerais e os não especificados"
"T413","Intoxicação por anestésicos locais"
"T414","Intoxicação por anestésico não especificado"
"T415","Intoxicação por gases terapêuticos"
"T420","Intoxicação por derivados da hidantoína"
"T421","Intoxicação por iminostilbenos"
"T422","Intoxicação por succinimidas e oxazolidinadionas"
"T423","Intoxicação por barbitúricos"
"T424","Intoxicação por benzodiazepinas"
"T425","Intoxicação por antiepiléticos em associação, não classificados em outra parte"
"T426","Intoxicação por outras drogas antiepilépticas e sedativos-hipnóticos"
"T427","Intoxicação por drogas antiepilépticos, sedativos-hipnóticos, não especificados"
"T428","Intoxicação por drogas antiparkinsonianos e outros depressores centrais do tônus muscular"
"T430","Intoxicação por antidepressivos tricíclicos e tetracíclicos"
"T431","Intoxicação por antidepressivos inibidores da monoaminooxidase (mao)"
"T432","Intoxicação por outros antidepressivos e os não especificados"
"T433","Intoxicação por antipsicóticos e neurolépticos derivados da fenotiazina"
"T434","Intoxicação por neurolépticos do tipo butirofenona e tioxanteno"
"T435","Intoxicação por outros antipsicóticos e neurolépticos e os não especificados"
"T436","Intoxicação por psicoestimulantes que potencialmente podem provocar dependência"
"T438","Intoxicação por outras drogas psicotrópicas não classificadas em outra parte"
"T439","Intoxicação por droga psicotrópica não especificada"
"T440","Intoxicação por agentes anticolinesterase"
"T441","Intoxicação por outros agentes parassimpaticomiméticos [colinérgicos]"
"T442","Intoxicação por bloqueadores ganglionares não classificados em outra parte"
"T443","Intoxicação por outros parassimpaticolíticos e espasmolíticos ñ classificados noutra parte"
"T444","Intoxicação por agonistas principalmente alfa-adrenorreceptores não class. em outra parte"
"T445","Intoxicação por agonistas principalmente beta-adrenorreceptores não class. em outra parte"
"T446","Intoxicação por antagonistas alfa-adrenorreceptores não classificados em outra parte"
"T447","Intoxicação por antagonistas beta-adrenorreceptores não classificados em outra parte"
"T448","Intoxicação por bloquead. neuronais adrenérgicos e de ação central, não class. noutra parte"
"T449","Intoxicação por out. drogas que afetam princ. o sist. nervoso autônomo e as ñ especificadas"
"T450","Intoxicação por drogas antialérgicas e antieméticas"
"T451","Intoxicação por drogas antineoplásicas e imunomupressoras"
"T452","Intoxicação por vitaminas, não classificadas em outra parte"
"T453","Intoxicação por enzimas, não classificadas em outra parte"
"T454","Intoxicação por ferro e seus compostos"
"T455","Intoxicação por anticoagulantes"
"T456","Intoxicação por drogas que afetam a fibrinólise"
"T457","Intoxicação por antagonistas de anticoagulantes, vitamina K e outros fatores de coagulação"
"T458","Intoxicação por outras substâncias primariamente sistêmicas e hematológicas"
"T459","Intoxicação por substância essencialmente sistêmica e hematológica não especificada"
"T460","Intoxicação por glicosídeos estimulantes do coração e substâncias de ação semelhante"
"T461","Intoxicação por bloqueadores dos canais de cálcio"
"T462","Intoxicação por outras drogas antidisrítmicas não classificadas em outra parte"
"T463","Intoxicação por vasodilatadores coronarianos, não classificados em outra parte"
"T464","Intoxicação por inibidores da enzima de conversão da angiotensina"
"T465","Intoxicação por outras drogas anti-hipertensivas não classificadas em outra parte"
"T466","Intoxicação por drogas antihiperlipêmicas e antiarterioscleróticas"
"T467","Intoxicação por vasodilatadores periféricos"
"T468","Intoxicação por drogas antivaricosas, incluindo substâncias esclerosantes"
"T469","Intoxicação por outras subst. e as não especificada que agem essenc. sobre o aparelho circulatório"
"T470","Intoxicação por antagonistas dos receptores H2 da histamina"
"T471","Intoxicação por outros antiácidos e drogas que inibem a secreção gástrica"
"T472","Intoxicação por laxativos estimulantes"
"T473","Intoxicação por laxativos salinos e osmóticos"
"T474","Intoxicação por outros laxativos"
"T475","Intoxicação por digestivos"
"T476","Intoxicação por drogas antidiarréicas"
"T477","Intoxicação por eméticos"
"T478","Intoxicação por outras substâncias que atuam primariamente sobre o aparelho gastrintestinal"
"T479","Intoxicação por substância não especificada que atua primariamente sobre o aparelho gastrointestinal"
"T480","Intoxicação por drogas ocitócicas"
"T481","Intoxicação por relaxantes musculares esqueléticos [bloqueadores neuromusculares]"
"T482","Intoxicação por outras substâncias e as não especificadas que atuam sobre os músculos"
"T483","Intoxicação por antitussígenos"
"T484","Intoxicação por expectorantes"
"T485","Intoxicação por drogas anti-resfriado"
"T486","Intoxicação por antiasmáticos não classificados em outra parte"
"T487","Intoxicação por outras substâncias e as não espec. que atuam primar. sobre o aparelho respiratório"
"T490","Intoxicação por antifúngicos, antiinfecciosos e antiinflamat. de uso tópico, não class. noutra parte"
"T491","Intoxicação por antipruriginosos"
"T492","Intoxicação por adstringentes e detergentes de uso local"
"T493","Intoxicação por emolientes, demulcentes e protetores"
"T494","Intoxicação por ceratolíticos, ceratoplásticos e outras drogas/preparados p/ tratamento dos cabelos"
"T495","Intoxicação por drogas e preparações de uso oftalmológico"
"T496","Intoxicação por drogas e preparações de uso otorrinolaringológico"
"T497","Intoxicação por drogas dentárias de uso tópico"
"T498","Intoxicação por outras drogas de uso tópico"
"T499","Intoxicação por preparado de uso tópico, não especificado"
"T500","Intoxicação por mineralocorticóides e seus antagonistas"
"T501","Intoxicação por diuréticos de alça"
"T502","Intoxicação por inibidores da anidrase carbônica, benzotiazidas e outros diuréticos"
"T503","Intoxicação por produtos que agem sobre o equilíbrio eletrolítico, calórico e hídrico"
"T504","Intoxicação por drogas que agem sobre o metabolismo do ácido úrico"
"T505","Intoxicação por inibidores do apetite"
"T506","Intoxicação por antídotos e quelantes não classificados em outra parte"
"T507","Intoxicação por analépticos e antagonistas dos receptores de opiáceos"
"T508","Intoxicação por agentes de diagnóstico"
"T509","Intoxicação por outras drogas, medicamentos e substâncias biológicas e as não especificadas"
"T510","Efeito tóxico do etanol"
"T511","Efeito tóxico do metanol"
"T512","Efeito tóxico do 2-propanol"
"T513","Efeito tóxico do óleo de fusel"
"T518","Efeito tóxico de outros álcoois"
"T519","Efeito tóxico de álcool não especificado"
"T520","Efeito tóxico de derivados do petróleo"
"T521","Efeito tóxico do benzeno"
"T522","Efeito tóxico de homólogos do benzeno"
"T523","Efeito tóxico de glicóis"
"T524","Efeito tóxico de cetonas"
"T528","Efeito tóxico de outros solventes orgânicos"
"T529","Efeito tóxico de solvente orgânico não especificado"
"T530","Efeito tóxico do tetracloreto de carbono"
"T531","Efeito tóxico do clorofórmio"
"T532","Efeito tóxico do tricloroetileno"
"T533","Efeito tóxico do tetracloroetileno"
"T534","Efeito tóxico do diclorometano"
"T535","Efeito tóxico do clorofluorcarbono"
"T536","Efeito tóxico de outros derivados halogênicos de hidrocarbonetos alifáticos"
"T537","Efeito tóxico de derivados halogênicos de hidrocarbonetos aromáticos"
"T539","Efeito tóxico de derivados halogênicos de hidrocarbonetos alifáticos e aromáticos não especificados"
"T540","Efeito tóxico do fenol e homólogos do fenol"
"T541","Efeito tóxico de outros compostos corrosivos orgânicos"
"T542","Efeito tóxico de ácidos corrosivos e substâncias semelhantes"
"T543","Efeito tóxico de bases (álcalis) cáusticas(os) e substâncias semelhantes"
"T549","Efeito tóxico de substância corrosiva não especificada"
"T55","Efeito tóxico de sabões e detergentes"
"T560","Efeito tóxico do chumbo e seus compostos"
"T561","Efeito tóxico do mercúrio e seus compostos"
"T562","Efeito tóxico do cromo e seus compostos"
"T563","Efeito tóxico do cádmio e seus compostos"
"T564","Efeito tóxico do cobre e seus compostos"
"T565","Efeito tóxico do zinco e seus compostos"
"T566","Efeito tóxico do estanho e seus compostos"
"T567","Efeito tóxico do berilo e seus compostos"
"T568","Efeito tóxico de outros metais"
"T569","Efeito tóxico de metal, não especificado"
"T570","Efeito tóxico do arsênico e seus compostos"
"T571","Efeito tóxico do fósforo e seus compostos"
"T572","Efeito tóxico do manganês e seus compostos"
"T573","Efeito tóxico do cianeto de hidrogênio (ácido cianídrico)"
"T578","Efeito tóxico de outras substâncias inorgânicas especificadas"
"T579","Efeito tóxico de substância inorgânica não especificada"
"T58","Efeito tóxico do monóxido de carbono"
"T590","Efeito tóxico de óxidos de nitrogênio"
"T591","Efeito tóxico do dióxido de enxofre"
"T592","Efeito tóxico de formaldeído"
"T593","Efeito tóxico do gás lacrimogêneo"
"T594","Efeito tóxico do cloro gasoso"
"T595","Efeito tóxico do fluoreto gasoso e ácido fluorídrico"
"T596","Efeito tóxico do ácido sulfídrico"
"T597","Efeito tóxico do dióxido de carbono"
"T598","Efeito tóxico de outros gases, fumaças e vapores especificados"
"T599","Efeito tóxico de gases, fumaças e vapores não especificados"
"T600","Efeito tóxico de inseticidas organofosforados e carbamatos"
"T601","Efeito tóxico de inseticidas halogenados"
"T602","Efeito tóxico de outros inseticidas"
"T603","Efeito tóxico de herbicidas e fungicidas"
"T604","Efeito tóxico de rodenticidas"
"T608","Efeito tóxico de outros pesticidas"
"T609","Efeito tóxico de pesticida não especificado"
"T610","Intoxicação pelo peixe ciguatera"
"T611","Intoxicação por peixes escombrídeos"
"T612","Outras intoxicações por peixes e mariscos"
"T618","Efeito tóxico de outros frutos do mar"
"T619","Efeito tóxico de frutos do mar não especificados"
"T620","Efeito tóxico de ingestão de cogumelos"
"T621","Efeito tóxico de ingestão de frutos"
"T622","Efeito tóxico de ingestão de outras (partes de) plantas"
"T628","Efeito tóxico de outras substâncias nocivas ingeridas como alimento"
"T629","Efeito tóxico de substâncias nocivas ingeridas como alimento, não especificadas"
"T630","Efeito tóxico do veneno de serpente"
"T631","Efeito tóxico do veneno de outros répteis"
"T632","Efeito tóxico do veneno de escorpião"
"T633","Efeito tóxico do veneno de aranha"
"T634","Efeito tóxico do veneno de outros artrópodes"
"T635","Efeito tóxico de contato com peixe"
"T636","Efeito tóxico de contato com outros animais marinhos"
"T638","Efeito tóxico de contato com outros animais venenosos"
"T639","Efeito tóxico de contato com animal venenoso não especificado"
"T64","Efeito tóxico da aflatoxina e de outras micotoxinas contaminantes de alimentos"
"T650","Efeito tóxico de cianetos"
"T651","Efeito tóxico da estricnina e seus sais"
"T652","Efeito tóxico do tabaco e da nicotina"
"T653","Efeito tóxico de nitroderivados e aminoderivados do benzeno e seus homólogos"
"T654","Efeito tóxico do dissulfeto de carbono"
"T655","Efeito tóxico da nitroglicerina e outros ácidos e ésteres nítricos"
"T656","Efeito tóxico de tinturas e corantes, não classificadas em outra parte"
"T658","Efeito tóxico de outras substâncias especificadas"
"T659","Efeito tóxico de substância não especificada"
"T66","Efeitos não especificados de radiação"
"T670","Golpe de calor e insolação"
"T671","Síncope devida ao calor"
"T672","Cãibras devidas ao calor"
"T673","Exaustão devida ao calor e à perda hídrica"
"T674","Exaustão devida ao calor e à perda de sal"
"T675","Exaustão devida ao calor, sem especificação"
"T676","Fadiga transitória devida ao calor"
"T677","Edema devido ao calor"
"T678","Outros efeitos do calor e da luz"
"T679","Efeito do calor e da luz não especificado"
"T68","Hipotermia"
"T690","Mão e pé de imersão"
"T691","Congelamento [chilblains]"
"T698","Outros efeitos especificados de temperatura reduzida"
"T699","Efeito não especificado de temperatura reduzida"
"T700","Otite barotraumática"
"T701","Sinusite barotraumática"
"T702","Outros efeitos das grandes altitude e os não especificados"
"T703","Mal dos caixões [doença de descompressão]"
"T704","Efeito dos fluidos em alta pressão"
"T708","Outros efeitos da pressão atmosférica ou da pressão da água"
"T709","Efeitos não especificados da pressão atmosférica ou da pressão da água"
"T71","Asfixia"
"T730","Efeitos da fome"
"T731","Efeitos da sede"
"T732","Exaustão devida às intempéries"
"T733","Exaustão devido a um esforço intenso"
"T738","Outros efeitos de privação"
"T739","Efeito não especificado de privação"
"T740","Abandono"
"T741","Sevícias físicas"
"T742","Abuso sexual"
"T743","Abuso psicológico"
"T748","Outras síndromes especificadas de maus tratos"
"T749","Síndrome não especificada de maus tratos"
"T750","Efeitos do raio"
"T751","Afogamento e submersão não mortal"
"T752","Efeitos da vibração"
"T753","Doença causada pelo movimento"
"T754","Efeitos da corrente elétrica"
"T758","Outros efeitos especificados de causas externas"
"T780","Choque anafilático devido à intolerância alimentar"
"T781","Outras reações de intolerância alimentar não classificadas em outra parte"
"T782","Choque anafilático não especificado"
"T783","Edema angioneurótico"
"T784","Alergia não especificada"
"T788","Outros efeitos adversos não classificados em outra parte"
"T789","Efeito adverso não especificado"
"T790","Embolia gasosa (traumática)"
"T791","Embolia gordurosa (traumática)"
"T792","Hemorragia traumática secundária e recidivante"
"T793","Infecção pós-traumática de ferimento não classificada em outra parte"
"T794","Choque traumático"
"T795","Anúria traumática"
"T796","Isquemia muscular traumática"
"T797","Enfisema subcutâneo de origem traumática"
"T798","Outras complicações precoces de traumatismo"
"T799","Complicação precoce não especificada de traumatismo"
"T800","Embolia aérea subseqüentes à infusão, transfusão e injeção terapêutica"
"T801","Complicações vasculares subseqüentes à infusão, transfusão e injeção terapêutica"
"T802","Infecções subseqüentes à infusão, transfusão e injeção terapêutica"
"T803","Reação de incompatibilidade abo"
"T804","Reação de incompatibilidade rh"
"T805","Choque anafilático devido a soro"
"T806","Outras reações ao soro"
"T808","Outras complicações subseqüentes à infusão, transfusão e injeção terapêutica"
"T809","Complicação não especificada subseqüente à infusão, transfusão e injeção terapêutica"
"T810","Hemorragia e hematoma complicando procedimento não classificado em outra parte"
"T811","Choque durante ou resultante de procedimento não classificado em outra parte"
"T812","Perfuração e laceração acidentais durante um procedimento não classificado em outra parte"
"T813","Deiscência de ferida cirúrgica não classificada em outra parte"
"T814","Infecção subseqüente a procedimento não classificada em outra parte"
"T815","Corpo estranho deixado acident. em cavidade corporal ou em ferida operatória subseq. a procedimento"
"T816","Reação aguda à substância estranha deixada acidentalmente durante um procedimento"
"T817","Complicações vasculares subseqüentes a um procedimento não classificado em outra parte"
"T818","Outras complicações de procedimentos não classificadas em outra parte"
"T819","Complicação não especificada de procedimento"
"T820","Complicação mecânica de prótese valvular cardíaca"
"T821","Complicação mecânica de dispositivo eletrônico cardíaco"
"T822","Complicação mecânica de enxerto de ponte coronária e implantes de valvas"
"T823","Complicações mecânicas de outros enxertos vasculares"
"T824","Complicação mecânica de cateter vascular de diálise"
"T825","Complicações mecânicas de outros dispositivos e implantes cardiovasculares"
"T826","Infecção e reação inflamatórias devidas à prótese valvular cardíaca"
"T827","Infecção e reação inflamatória devida a out. disposit., implantes e enxertos cardíacos e vasculares"
"T828","Outras complicações de dispositivos protéticos, implantes e enxertos cardíacos e vasculares"
"T829","Complicações não especificada de dispositivo protético, implante e enxerto cardíacos e vasculares"
"T830","Complicação mecânica de cateter (de demora) urinário"
"T831","Complicação mecânica de outros dispositivos e implantes urinários"
"T832","Complicação mecânica de enxerto de órgão urinário"
"T833","Complicação mecânica de dispositivo intra-uterino (anticoncepcional)"
"T834","Complicação mecânica de outros dispositivos protéticos, implantes e enxertos do trato genital"
"T835","Infecção e reação inflamatória devida à disposit. protético, implante e enxerto no aparelho urinário"
"T836","Infecção e reação inflamatória devidas à dispositivo protético, implante e enxerto no trato genital"
"T838","Outras complicações de dispositivos protéticos, implantes e enxertos geniturinários"
"T839","Complicação não especificada de prótese, implante e enxerto geniturinários"
"T840","Complicação mecânica de prótese articular interna"
"T841","Complicação mecânica de dispositivo de fixação interna de ossos dos membros"
"T842","Complicação mecânica de dispositivo de fixação interna de outros ossos"
"T843","Complicação mecânica de outros dispositivos, implantes e enxertos ósseos"
"T844","Complicação mecânica de outros dispositivos, implantes e enxertos ortopédicos internos"
"T845","Infecção e reação inflamatória devidas à prótese articular interna"
"T846","Infecção e reação inflamatória devidas a dispositivo de fixação interna [qualquer local]"
"T847","Infecção e reação inflamatória devida a out. disposit. protét., implantes e enxertos ortop. internos"
"T848","Outras complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos"
"T849","Complicação não especificada de dispositivo protético, implante e enxerto ortopédicos internos"
"T850","Complicação mecânica de shunt ventricular (comunicação) intracraniano"
"T851","Complicação mecânica de estimulador eletrônico implantado no sistema nervoso"
"T852","Complicação mecânica de lente intraocular"
"T853","Complicações mecânicas de outros dispositivos protéticos, implantes e enxertos oculares"
"T854","Complicação mecânica de prótese e implante mamários"
"T855","Complicação mecânica de dispositivos protéticos, implante e enxerto gastrointestinais"
"T856","Complicação mecânica de outros dispositivos protéticos, implantes e enxertos internos especificados"
"T857","Infecção e reação inflamatória devida a outros dispositivos protét., implantes e enxertos internos"
"T858","Outras complicações de disposit. protét., implantes e enxertos internos não classif. em outra parte"
"T859","Complicação não especificada de outros dispositivos protéticos, implantes e enxertos internos"
"T860","Rejeição a transplante de medula óssea"
"T861","Falência ou rejeição de transplante de rim"
"T862","Falência ou rejeição de transplante de coração"
"T863","Falência ou rejeição de transplante duplo de coração e pulmão"
"T864","Falência ou rejeição de transplante de fígado"
"T868","Outra insuficiência ou rejeição de outros órgãos ou tecidos transplantados"
"T869","Falência e rejeição a transplante de órgão ou tecido não especificado"
"T870","Complicações de reimplante (de parte) de extremidade superior"
"T871","Complicações de reimplante (de parte) de extremidade inferior"
"T872","Complicações de outras partes reimplantadas do corpo"
"T873","Neuroma de coto da amputação"
"T874","Infecção de coto da amputação"
"T875","Necrose do coto da amputação"
"T876","Outras complicações e as não especificadas do coto de amputação"
"T880","Infecção subseqüente à imunização"
"T881","Outras complicações subseqüentes à imunização não classificadas em outra parte"
"T882","Choque devido à anestesia"
"T883","Hipertermia maligna devida à anestesia"
"T884","Entubação falha ou difícil"
"T885","Outras complicações de anestesia"
"T886","Choque anafilático devido a efeito adverso de droga/medicam. correto e administ. maneira apropriada"
"T887","Efeito adverso não especificado de droga ou medicamento"
"T888","Outras complicações de cuidados médicos e cirúrgicos especificados não classificados em outra parte"
"T889","Complicação não especificada de cuidados médicos e cirúrgicos"
"T900","Seqüelas de traumatismo superficial da cabeça"
"T901","Seqüelas de ferimento da cabeça"
"T902","Seqüelas de fratura de crânio e de ossos da face"
"T903","Seqüelas de traumatismo de nervos cranianos"
"T904","Seqüelas de traumatismo do olho e da órbita"
"T905","Seqüelas de traumatismo intracraniano"
"T908","Seqüelas de outros traumatismos especificados da cabeça"
"T909","Seqüelas de traumatismo não especificado da cabeça"
"T910","Seqüelas de traumatismo superficial e ferimento do pescoço e do tronco"
"T911","Seqüelas de fratura de coluna vertebral"
"T912","Seqüelas de outra fratura do tórax e da pelve"
"T913","Seqüelas de traumatismo de medula espinhal"
"T914","Seqüelas de traumatismo de órgãos intratorácicos"
"T915","Seqüelas de traumatismo de órgãos intra-abdominais e órgãos pélvicos"
"T918","Seqüelas de outros traumatismos especificados do pescoço e do tronco"
"T919","Seqüelas de traumatismo não especificado do pescoço e do tronco"
"T920","Seqüelas de ferimento do membro superior"
"T921","Seqüelas de fratura do braço"
"T922","Seqüelas de fratura ao nível do punho e da mão"
"T923","Seqüelas de luxação, entorse e distensão do membro superior"
"T924","Seqüelas de traumatismo de nervo de membro superior"
"T925","Seqüelas de traumatismo de músculo e tendão do membro superior"
"T926","Seqüelas de esmagamento e amputação traumática do membro superior"
"T928","Seqüelas de outros traumatismos especificados do membro superior"
"T929","Seqüelas de traumatismo não especificado do membro superior"
"T930","Seqüelas de ferimento do membro inferior"
"T931","Seqüelas de fratura do fêmur"
"T932","Seqüelas de outras fraturas do membro inferior"
"T933","Seqüelas de luxação, entorse e distensão do membro inferior"
"T934","Seqüelas de traumatismo de nervo do membro inferior"
"T935","Seqüelas de traumatismo de músculo e tendão do membro inferior"
"T936","Seqüelas de esmagamento e amputação traumática do membro inferior"
"T938","Seqüelas de outros traumatismos especificados do membro inferior"
"T939","Seqüelas de traumatismo não especificado do membro inferior"
"T940","Seqüelas de traumatismos envolvendo regiões múltiplas do corpo"
"T941","Seqüelas de traumatismos não especificados por regiões do corpo"
"T950","Seqüelas de queimadura, corrosão e geladura da cabeça e pescoço"
"T951","Seqüelas de queimadura, corrosão e geladura do tronco"
"T952","Seqüelas de queimadura, corrosão e geladura do membro superior"
"T953","Seqüelas de queimadura, corrosão e geladura do membro inferior"
"T954","Seqüelas de queimadura e corrosão classificável só de acordo c/a extensão da área corporal envolvida"
"T958","Seqüelas de outra queimadura, corrosões e geladuras especificadas"
"T959","Seqüelas de queimadura, corrosão e geladura de local não especificado"
"T96","Seqüelas de intoxicação por drogas, medicamentos e substâncias biológicas"
"T97","Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não-medicinal"
"T980","Seqüelas dos efeitos da penetração de corpo estranho através de orifício natural"
"T981","Seqüelas em outros efeitos de causas externas e os não especificados"
"T982","Seqüelas de algumas complicações precoces de traumatismos"
"T983","Seqüelas de complicações dos cuidados médicos e cirúrgicos não classificados em outra parte"
"U049","Síndrome respiratória aguda grave [Severe acute respiratory syndrome) [SARS], não especificada"
"U800","Agente resistente à penicilina"
"U801","Agente resistente à meticilina"
"U808","Agente resistente a outro antibiótico relacionado à penicilina"
"U810","Agente resistente à vancomicina"
"U818","Agente resistente a outros antibióticos relacionado à vancomicina"
"U88","Agente resistente a múltiplos antibióticos"
"U898","Agente resistente a outro antibiótico especificado único"
"U899","Agente resistente a antibiótico não especificado"
"V010","Pedestre traum. em col. c/ veíc. a pedal - acidente ñ-trânsito"
"V011","Pedestre traum. em col. c/ veíc. a pedal - acidente de trânsito"
"V019","Pedestre traum. em col. c/ veíc. a pedal - acidente não especificado se de trânsito ou não"
"V020","Pedestre traum. em col. c/ veíc. a motor de 2/3 rodas - acidente ñ-trânsito"
"V021","Pedestre traum. em col. c/ veíc. a motor de 2/3 rodas - acidente de trânsito"
"V029","Pedestre traum. em col. c/ veíc. a motor de 2/3 rodas - acidente não especif. se de trânsito ou não"
"V030","Pedestre traum. em col. c/ carro, pick-up ou caminhonete - acidente ñ-trânsito"
"V031","Pedestre traum. em col. c/ carro, pick-up ou caminhonete - acidente de trânsito"
"V039","Pedestre traum. em col. c/ carro, pick-up ou caminhonete - acidente não espec. se de trânsito ou não"
"V040","Pedestre traum. em col. c/ veíc. trans. pesado ou ônibus - acidente ñ-trânsito"
"V041","Pedestre traum. em col. c/ veíc. trans. pesado ou ônibus - acidente de trânsito"
"V049","Pedestre traum. em col. c/ veíc. trans. pesado ou ônibus - acidente não espec. se de trânsito ou não"
"V050","Pedestre traum. em col. c/ trem/veículo ferroviário - acidente ñ-trânsito"
"V051","Pedestre traum. em col. c/ trem/veículo ferroviário - acidente de trânsito"
"V059","Pedestre traum. em col. c/ trem/veículo ferroviário - acidente não especif. se de trânsito ou não"
"V060","Pedestre traum. em col. c/ outro veículo não-motorizado - acidente ñ-trânsito"
"V061","Pedestre traum. em col. c/ outro veículo não-motorizado - acidente de trânsito"
"V069","Pedestre traum. em col. c/ outro veículo não-motorizado - acidente não espec. se de trânsito ou não"
"V090","Pedestre traum. em acid. ñ-trânsito, envolvendo outros veículos a motor e os não especificados"
"V091","Pedestre traum. em acid. ñ-trânsito não especificado"
"V092","Pedestre traum. em acid. de trânsito envolvendo outros veículos e os não especificados, a motor"
"V093","Pedestre traum. em acid. de trânsito não especificado"
"V099","Pedestre traum. em acid. de transporte não especificado"
"V100","Ciclista traum. em col. com um pedestre/animal - condutor traumatizado em acidente ñ-trânsito"
"V101","Ciclista traum. em col. com um pedestre/animal - passageiro traumatizado em acidente ñ-trânsito"
"V102","Ciclista traum. em col. com um pedestre/animal - ciclista não espec. traum. em acid. ñ-trânsito"
"V103","Ciclista traum. em col. com um pedestre/animal - pessoa traumatizada ao subir ou descer do veículo"
"V104","Ciclista traum. em col. com um pedestre/animal - condutor traumatizado em um acidente de trânsito"
"V105","Ciclista traum. em col. com um pedestre/animal - passageiro traumatizado em um acidente de trânsito"
"V109","Ciclista traum. em col. com um pedestre/animal - ciclista não espec. traum. em acidente de trânsito"
"V110","Ciclista traum. em col. com outro veículo a pedal - condutor traumat. em acidente ñ-trânsito"
"V111","Ciclista traum. em col. com outro veículo a pedal - passageiro traumat. em acidente ñ-trânsito"
"V112","Ciclista traum. em col. com outro veículo a pedal - cicl. não espec. traum. em acid. ñ-trânsito"
"V113","Ciclista traum. em col. com outro veículo a pedal - pessoa traumat. ao subir ou descer do veículo"
"V114","Ciclista traum. em col. com outro veículo a pedal - condutor traumatizado em um acidente de trânsito"
"V115","Ciclista traum. em col. com outro veículo a pedal - passageiro traumat. em um acidente de trânsito"
"V119","Ciclista traum. em col. com outro veículo a pedal - ciclista ñ espec. traum. em acidente de trânsito"
"V120","Ciclista traum. em col. com veículo motor de 2/3 rodas - condutor traum. em acidente ñ-trânsito"
"V121","Ciclista traum. em col. com veículo motor de 2/3 rodas - passag. traum. em acidente ñ-trânsito"
"V122","Ciclista traum. em col. com veículo motor de 2/3 rodas - cicl. não espec. traum. em acid. não-trâns."
"V123","Ciclista traum. em col. com veículo motor de 2/3 rodas - pessoa traumat. ao subir/descer do veículo"
"V124","Ciclista traum. em col. com veículo motor de 2/3 rodas - condutor traumat. em acidente de trânsito"
"V125","Ciclista traum. em col. com veículo motor de 2/3 rodas - passageiro traumat. em acidente de trânsito"
"V129","Ciclista traum. em col. com veículo motor de 2/3 rodas - cicl. não espec. traumat. em acid. trânsito"
"V130","Ciclista traum. em col. com autom., pick-up ou caminh. - condutor traum. em acidente ñ-trânsito"
"V131","Ciclista traum. em col. com autom., pick-up ou caminh. - passag. traum. em acidente ñ-trânsito"
"V132","Ciclista traum. em col. com autom., pick-up ou caminh. - cicl. não espec. traum. em acid. não-trâns."
"V133","Ciclista traum. em col. com autom., pick-up ou caminh. - pessoa traumat. ao subir/descer do veículo"
"V134","Ciclista traum. em col. com autom., pick-up ou caminh. - condutor traumat. em acidente de trânsito"
"V135","Ciclista traum. em col. com autom., pick-up ou caminh. - passageiro traumat. em acidente de trânsito"
"V139","Ciclista traum. em col. com autom., pick-up ou caminh. - cicl. não espec. traumat. em acid. trânsito"
"V140","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - condutor traum. em acidente ñ-trânsito"
"V141","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - passag. traum. em acidente ñ-trânsito"
"V142","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - cicl. não espec. traum. em acid. não-trâns."
"V143","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - pessoa traumat. ao subir/descer do veículo"
"V144","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - condutor traumat. em acidente de trânsito"
"V145","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - passageiro traumat. em acidente de trânsito"
"V149","Ciclista traum. em col. c/ veíc. trans. pes. ou ônibus - cicl. não espec. traumat. em acid. trânsito"
"V150","Ciclista traum. em col. com trem ou veíc. ferroviário - condutor traum. em acidente ñ-trânsito"
"V151","Ciclista traum. em col. com trem ou veíc. ferroviário - passag. traum. em acidente ñ-trânsito"
"V152","Ciclista traum. em col. com trem ou veíc. ferroviário - cicl. não espec. traum. em acid. não-trâns."
"V153","Ciclista traum. em col. com trem ou veíc. ferroviário - pessoa traumat. ao subir/descer do veículo"
"V154","Ciclista traum. em col. com trem ou veíc. ferroviário - condutor traumat. em acidente de trânsito"
"V155","Ciclista traum. em col. com trem ou veíc. ferroviário - passageiro traumat. em acidente de trânsito"
"V159","Ciclista traum. em col. com trem ou veíc. ferroviário - cicl. não espec. traumat. em acid. trânsito"
"V160","Ciclista traum. em col. com veículo não-motorizado - condutor traum. em acidente ñ-trânsito"
"V161","Ciclista traum. em col. com veículo não-motorizado - passag. traum. em acidente ñ-trânsito"
"V162","Ciclista traum. em col. com veículo não-motorizado - cicl. não espec. traum. em acid. não-trâns."
"V163","Ciclista traum. em col. com veículo não-motorizado - pessoa traumat. ao subir/descer do veículo"
"V164","Ciclista traum. em col. com veículo não-motorizado - condutor traumat. em acidente de trânsito"
